Workout date, 2020-03-19 17:52:13 
Duration, 240
Calories burned, 0
Mean heart rate, 120.73
Maximum heart rate, 132
Notes, Cycling

Time (seconds), Rate (beats per minute)
    10.7, 91
    15.7, 91
    16.7, 92
    23.7, 118
    29.7, 121
    31.7, 120
    43.7, 118
    47.7, 120
    51.7, 119
    55.7, 122
    69.7, 130
    71.7, 129
    75.7, 129
    84.7, 120
    87.7, 118
    90.7, 117
    95.7, 117
   104.7, 121
   105.7, 121
   111.7, 121
   119.7, 128
   120.7, 126
   125.7, 118
   134.7, 126
   135.7, 126
   142.7, 132
   149.7, 129
   153.7, 126
   155.7, 123
   164.7, 128
   166.7, 128
   170.7, 127
   179.7, 123
   180.7, 123
   187.7, 117
   193.7, 118
   195.7, 118
   200.7, 114
   209.7, 107
   211.7, 103
   215.7, 105
   234.7, 121
