Workout date, 2020-03-15 14:23:24 
Duration, 235
Calories burned, 0
Mean heart rate, 153.08
Maximum heart rate, 170
Notes, Skating sports

Time (seconds), Rate (beats per minute)
     5.8, 110
     9.8, 108
    14.8, 110
    16.8, 110
    20.8, 112
    27.8, 125
    32.8, 129
    39.8, 146
    41.8, 148
    49.8, 157
    54.8, 154
    57.8, 151
    64.8, 153
    66.8, 154
    72.8, 158
    76.8, 159
    84.8, 160
    85.8, 160
    90.8, 158
    95.8, 152
   100.8, 154
   108.8, 162
   110.8, 162
   119.8, 154
   122.8, 152
   128.8, 154
   132.8, 155
   138.8, 145
   140.8, 145
   145.8, 149
   152.8, 155
   155.8, 157
   160.8, 160
   168.8, 161
   170.8, 160
   179.8, 164
   180.8, 164
   189.8, 160
   193.8, 163
   196.8, 165
   203.8, 169
   205.8, 170
   214.8, 168
   218.8, 168
   220.8, 166
   229.8, 162
