Workout date, 2020-03-11 14:12:07 
Duration, 270
Calories burned, 0
Mean heart rate, 120.48
Maximum heart rate, 160
Notes, Running

Time (seconds), Rate (beats per minute)
    10.5, 84
    15.5, 88
    74.5, 95
    77.5, 96
    84.5, 90
    87.5, 92
    92.5, 93
    98.5, 95
   101.5, 94
   105.5, 94
   110.5, 98
   115.5, 102
   123.5, 110
   127.5, 113
   130.5, 114
   137.5, 121
   147.5, 147
   154.5, 145
   156.5, 144
   164.5, 144
   165.5, 144
   170.5, 149
   177.5, 152
   184.5, 155
   189.5, 157
   190.5, 157
   199.5, 160
   204.5, 159
   209.5, 157
   212.5, 157
   215.5, 155
   221.5, 146
   225.5, 138
   230.5, 137
   235.5, 136
